Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité
2025/05/04 00:00:00;2025/05/04 01:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.14;0.14;µg-m3;;;;A;1
2025/05/04 01:00:00;2025/05/04 02:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.15;0.1475;µg-m3;;;;A;1
2025/05/04 02:00:00;2025/05/04 03:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.19;0.1925;µg-m3;;;;A;1
2025/05/04 03:00:00;2025/05/04 04:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.15;0.15;µg-m3;;;;A;1
2025/05/04 04:00:00;2025/05/04 05:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.15;0.15;µg-m3;;;;A;1
2025/05/04 05:00:00;2025/05/04 06:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.13;0.13;µg-m3;;;;A;1
2025/05/04 06:00:00;2025/05/04 07:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.11;0.105;µg-m3;;;;A;1
2025/05/04 07:00:00;2025/05/04 08:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.08;0.075;µg-m3;;;;A;1
2025/05/04 08:00:00;2025/05/04 09:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.12;0.1225;µg-m3;;;;A;1
2025/05/04 09:00:00;2025/05/04 10:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.16;0.16;µg-m3;;;;A;1
2025/05/04 10:00:00;2025/05/04 11:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.3;0.3;µg-m3;;;;A;1
2025/05/04 11:00:00;2025/05/04 12:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.45;0.4475;µg-m3;;;;A;1
2025/05/04 12:00:00;2025/05/04 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.14;0.135;µg-m3;;;;A;1
2025/05/04 13:00:00;2025/05/04 14:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.09;0.0925;µg-m3;;;;A;1
2025/05/04 14:00:00;2025/05/04 15:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.1;0.0975;µg-m3;;;;A;1
2025/05/04 15:00:00;2025/05/04 16:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;C6H6;Industrielle;1;Oui;mesures fixes;Auto Benzene VOC72M;moyenne horaire brute;0.14;0.14;µg-m3;;;;R;1
2025/05/04 00:00:00;2025/05/04 01:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
