Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,discriminant,Réglementaire,type d'évaluation,procédure de mesure,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité
2019/05/08 00:00:00,2019/05/08 01:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,16.6,16.55,µg-m3,,,,A,1
2019/05/08 01:00:00,2019/05/08 02:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,14.2,14.225,µg-m3,,,,A,1
2019/05/08 02:00:00,2019/05/08 03:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,12.5,12.45,µg-m3,,,,A,1
2019/05/08 03:00:00,2019/05/08 04:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,12.0,11.95,µg-m3,,,,A,1
2019/05/08 04:00:00,2019/05/08 05:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,16.3,16.3,µg-m3,,,,A,1
2019/05/08 05:00:00,2019/05/08 06:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,17.6,17.625,µg-m3,,,,A,1
2019/05/08 06:00:00,2019/05/08 07:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,14.1,14.1,µg-m3,,,,A,1
2019/05/08 07:00:00,2019/05/08 08:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,18.5,18.45,µg-m3,,,,A,1
2019/05/08 08:00:00,2019/05/08 09:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,19.5,19.5,µg-m3,,,,A,1
2019/05/08 09:00:00,2019/05/08 10:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,18.9,18.875,µg-m3,,,,A,1
